day,date,time,beg_time,end_time,location,id,session,type,sponsor,url,beg_time_round,end_time_round
Tue,7/31/2018,12:30 PM - 2:30 PM,12:30 PM,2:30 PM,CC-West 303,216489,JCGS Editor's Lunch,Other,JCGS-Journal of Computational and Graphical Statistics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216489,12,15
Tue,7/31/2018,12:30 PM - 2:00 PM,12:30 PM,2:00 PM,F-Mackenzie II,216617,JASA Associate Editor Luncheon,Other,JASA Editorial Board,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216617,12,14
Tue,7/31/2018,12:30 PM - 2:00 PM,12:30 PM,2:00 PM,F-Sechelt Room,216631,Deming Luncheon,Other,Deming Lectureship Committee,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216631,12,14
Tue,7/31/2018,12:30 PM - 2:00 PM,12:30 PM,2:00 PM,F-Terrace Room,216815,2019 SDSS Planning Meeting,Other,Symposium on Data Science and Statistics Program Committee,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216815,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West 201,,Economic Outlook Luncheon (Added Fee),Roundtable,Business and Economic Statistics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Biopharmaceutical Section P.M. Roundtable Discussion (Added Fee),Roundtable,Biopharmaceutical Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:15 PM,12:30 PM,1:15 PM,CC-West Ballroom D,,Committee on Applied Statisticians P.M. Roundtable Discussion (Added Fee),Roundtable,Committee on Applied Statisticians,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Government Statistics Section P.M. Roundtable Discussion (Added Fee),Roundtable,Government Statistics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Health Policy Statistics Section P.M. Roundtable Discussion (Added Fee),Roundtable,Health Policy Statistics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Mental Health Statistics Section P.M. Roundtable Discussion (Added Fee),Roundtable,Mental Health Statistics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Section on Statistical Consulting P.M. Roundtable Discussion (Added Fee),Roundtable,Section on Statistical Consulting,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Section on Statistics in Epidemiology P.M. Roundtable Discussion (Added Fee),Roundtable,Section on Statistics in Epidemiology,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,CC-West Ballroom D,,Section on Statistics in Imaging P.M. Roundtable Discussion (Added Fee),Roundtable,Section on Statistics in Imaging,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
Tue,7/31/2018,12:30 PM - 1:15 PM,12:30 PM,1:15 PM,CC-West Ballroom D,,Section on Teaching of Statistics in the Health Sciences P.M. Roundtable Discussion (Added Fee),Roundtable,Section on Teaching of Statistics in the Health Sciences,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/https://www.amstat.org/EventDetail?Eventkey=JSM2018,12,14
